data,negozio,categoria,prezzo_unitario,quantita,sconto_pct
2025-02-13,Napoli Sud,Casa,129.54,1,0.0
2025-02-13,Torino Nord,Casa,23.1,11,0.0
2025-02-14,Napoli Sud,Abbigliamento,83.12,8,20.0
2025-02-14,Roma Est,Elettronica,253.48,3,0.0
2025-02-17,Milano Centro,Casa,233.78,8,0.0
2025-02-18,Milano Centro,Casa,185.13,13,20.0
2025-02-19,Napoli Sud,Elettronica,296.33,3,0.0
2025-02-21,Roma Est,Casa,30.57,3,0.0
2025-02-23,Torino Nord,Abbigliamento,155.61,14,10.0
2025-02-24,Napoli Sud,Sport,263.91,11,0.0
2025-02-24,Milano Centro,Sport,286.52,12,
2025-02-25,Roma Est,Sport,203.77,3,0.0
2025-02-26,Torino Nord,Elettronica,295.83,5,10.0
2025-02-26,Torino Nord,Casa,209.14,6,10.0
2025-02-26,Napoli Sud,Sport,85.32,3,10.0
2025-03-01,Roma Est,Sport,270.21,6,20.0
2025-03-03,Roma Est,Abbigliamento,226.34,6,0.0
2025-03-06,Torino Nord,Casa,29.25,3,
2025-03-09,Milano Centro,Casa,142.03,12,0.0
2025-03-09,Milano Centro,Abbigliamento,195.75,3,0.0
2025-03-09,Napoli Sud,Sport,80.07,1,0.0
2025-03-09,Roma Est,Casa,109.68,9,0.0
2025-03-10,Torino Nord,Elettronica,70.38,5,0.0
2025-03-11,Milano Centro,Casa,265.13,2,0.0
2025-03-13,Napoli Sud,Casa,291.2,5,10.0
2025-03-14,Napoli Sud,Abbigliamento,289.26,2,0.0
2025-03-14,Torino Nord,Elettronica,58.08,11,20.0
2025-03-15,Roma Est,Elettronica,161.48,4,
2025-03-17,Roma Est,Elettronica,231.53,4,
2025-03-17,Torino Nord,Abbigliamento,91.9,2,0.0
2025-03-18,Napoli Sud,Abbigliamento,296.38,10,5.0
2025-03-18,Milano Centro,Abbigliamento,202.67,9,0.0
2025-03-18,Torino Nord,Sport,103.59,13,0.0
2025-03-18,Milano Centro,Casa,123.3,9,0.0
2025-03-21,Torino Nord,Casa,33.8,1,0.0
2025-03-21,Milano Centro,Casa,137.07,1,0.0
2025-03-25,Napoli Sud,Casa,59.78,7,0.0
2025-03-25,Roma Est,Casa,120.41,14,0.0
2025-03-27,Milano Centro,Casa,169.31,1,0.0
2025-03-27,Napoli Sud,Elettronica,11.72,12,5.0
2025-03-29,Torino Nord,Casa,235.68,4,0.0
2025-03-29,Torino Nord,Casa,289.01,3,0.0
2025-03-31,Milano Centro,Sport,187.03,12,0.0
2025-04-03,Milano Centro,Casa,189.12,10,10.0
2025-04-03,Milano Centro,Sport,267.9,7,20.0
2025-04-03,Napoli Sud,Elettronica,190.46,13,0.0
2025-04-04,Torino Nord,Sport,24.46,5,0.0
2025-04-04,Torino Nord,Abbigliamento,176.72,13,10.0
2025-04-04,Roma Est,Sport,169.69,14,0.0
2025-04-11,Roma Est,Abbigliamento,26.45,7,0.0
2025-04-11,Napoli Sud,Casa,144.16,6,5.0
2025-04-14,Milano Centro,Abbigliamento,171.08,8,5.0
2025-04-16,Milano Centro,Sport,147.19,10,20.0
2025-04-17,Milano Centro,Casa,83.38,8,20.0
2025-04-18,Milano Centro,Elettronica,17.15,6,0.0
2025-04-18,Milano Centro,Sport,13.61,2,0.0
2025-04-20,Napoli Sud,Abbigliamento,153.67,6,0.0
2025-04-21,Torino Nord,Elettronica,129.78,10,0.0
2025-04-21,Napoli Sud,Abbigliamento,273.36,6,0.0
2025-04-21,Napoli Sud,Abbigliamento,299.66,12,0.0
2025-04-23,Roma Est,Elettronica,253.59,7,10.0
2025-04-27,Napoli Sud,Sport,23.72,3,0.0
2025-04-28,Napoli Sud,Casa,290.76,8,5.0
2025-04-29,Torino Nord,Abbigliamento,74.76,4,5.0
2025-04-30,Milano Centro,Abbigliamento,170.59,13,5.0
2025-05-01,Milano Centro,Casa,160.18,5,5.0
2025-05-02,Roma Est,Elettronica,188.09,12,5.0
2025-05-04,Napoli Sud,Sport,129.49,9,10.0
2025-05-04,Napoli Sud,Casa,54.92,5,0.0
2025-05-05,Torino Nord,Abbigliamento,253.57,12,20.0
2025-05-08,Milano Centro,Casa,278.89,2,0.0
2025-05-08,Milano Centro,Elettronica,206.85,8,0.0
2025-05-11,Torino Nord,Abbigliamento,195.34,1,0.0
2025-05-12,Torino Nord,Elettronica,241.17,14,5.0
2025-05-15,Torino Nord,Elettronica,6.5,13,0.0
2025-05-16,Roma Est,Abbigliamento,37.24,7,
2025-05-16,Milano Centro,Elettronica,218.88,4,0.0
2025-05-16,Napoli Sud,Abbigliamento,251.79,2,20.0
2025-05-17,Napoli Sud,Sport,87.8,2,10.0
2025-05-17,Napoli Sud,Abbigliamento,271.72,6,
2025-05-18,Napoli Sud,Casa,193.05,4,0.0
2025-05-18,Roma Est,Elettronica,224.38,14,0.0
2025-05-21,Milano Centro,Casa,26.51,14,0.0
2025-05-21,Roma Est,Sport,258.08,6,20.0
2025-05-23,Torino Nord,Elettronica,209.05,7,0.0
2025-05-23,Torino Nord,Sport,226.03,4,10.0
2025-05-24,Roma Est,Sport,199.64,10,20.0
2025-05-24,Napoli Sud,Casa,142.66,5,0.0
2025-05-25,Torino Nord,Elettronica,211.06,5,0.0
2025-05-27,Roma Est,Elettronica,225.8,14,0.0
2025-05-30,Napoli Sud,Elettronica,103.46,6,0.0
2025-05-30,Roma Est,Sport,45.08,8,0.0
2025-05-30,Roma Est,Sport,120.9,8,10.0
2025-06-01,Roma Est,Elettronica,210.33,10,20.0
2025-06-01,Napoli Sud,Elettronica,183.43,11,5.0
2025-06-02,Roma Est,Abbigliamento,86.47,9,
2025-06-05,Milano Centro,Casa,81.57,9,10.0
2025-06-07,Roma Est,Elettronica,5.77,4,0.0
2025-06-08,Milano Centro,Abbigliamento,92.37,9,0.0
2025-06-09,Roma Est,Sport,8.63,8,5.0
2025-06-09,Napoli Sud,Sport,38.43,1,0.0
2025-06-12,Torino Nord,Elettronica,145.83,6,0.0
2025-06-13,Milano Centro,Casa,105.22,8,10.0
2025-06-14,Torino Nord,Casa,15.16,12,0.0
2025-06-15,Napoli Sud,Sport,220.29,11,0.0
2025-06-16,Milano Centro,Abbigliamento,127.77,8,0.0
2025-06-17,Torino Nord,Casa,181.75,13,0.0
2025-06-19,Napoli Sud,Elettronica,67.13,13,10.0
2025-06-22,Torino Nord,Sport,256.74,14,5.0
2025-06-22,Roma Est,Casa,127.03,6,5.0
2025-06-25,Roma Est,Sport,235.27,5,
2025-06-25,Napoli Sud,Abbigliamento,116.44,5,
2025-06-26,Milano Centro,Abbigliamento,64.77,11,0.0
2025-06-26,Milano Centro,Elettronica,273.13,6,
2025-06-28,Milano Centro,Elettronica,272.77,8,20.0
2025-06-28,Torino Nord,Abbigliamento,172.69,6,20.0
